,feature_importance,feature_names
419,0.06372496044317785,player_offensive_derived_var_119
379,0.06354651413122149,player_physical_derived_var_79
720,0.06345973731881331,team2_other_raw_var_89
718,0.06292044041176216,team2_other_raw_var_87
479,0.062175514018178196,team1_other_raw_var_16
647,0.06201747664335929,team2_other_raw_var_16
435,0.06196349424646102,player_offensive_derived_var_135
462,0.061911280772325,team1_system_id
126,0.061699687119233876,player_other_raw_var_112
51,0.059977250444471074,player_other_raw_var_37
122,0.05990318014867115,player_other_raw_var_108
626,0.05924542495703066,team1_offensive_derived_var_16
405,0.05747819001991632,player_physical_derived_var_105
581,0.05740584294435405,team1_offensive_ratio_var_24
234,0.056540549114396016,player_offensive_ratio_var_21
508,0.056455910930215944,team1_other_raw_var_45
694,0.05643722044758857,team2_other_raw_var_63
140,0.05630094548150324,player_offensive_raw_var_126
314,0.05586379702233721,player_positional_derived_var_14
567,0.05579448137560639,team1_other_ratio_var_10
118,0.05541597597268485,player_other_raw_var_104
443,0.055322164695867065,player_other_derived_var_143
293,0.055191261773574724,player_other_ratio_var_80
688,0.054540739638983135,team2_other_raw_var_57
219,0.05444830952078782,player_other_ratio_var_6
381,0.05406498627335363,player_offensive_derived_var_81
401,0.05391842252522397,player_defensive_derived_var_101
696,0.05385557232957702,team2_other_raw_var_65
772,0.05340598519804163,team2_other_ratio_var_47
119,0.05311760209389508,player_offensive_raw_var_105
284,0.05224331259249465,player_other_ratio_var_71
221,0.05181201624438391,player_defensive_ratio_var_8
685,0.05157797993033869,team2_other_raw_var_54
265,0.051500140314222086,player_offensive_ratio_var_52
478,0.05119327829255268,team1_other_raw_var_15
465,0.05065154556496342,team1_other_raw_var_2
309,0.05043266081320764,player_physical_derived_var_9
395,0.05018985933832411,player_defensive_derived_var_95
318,0.04994349414141145,player_physical_derived_var_18
483,0.04958297671954555,team1_other_raw_var_20
53,0.04925637625880078,player_other_raw_var_39
474,0.049040789813868835,team1_other_raw_var_11
328,0.04892932305053899,player_physical_derived_var_28
773,0.048852601358582506,team2_offensive_ratio_var_48
714,0.04864486062315633,team2_other_raw_var_83
412,0.048028260483135264,player_physical_derived_var_112
639,0.047979064634409305,team2_other_raw_var_8
450,0.047897144462861294,player_other_derived_var_150
607,0.04756321886291665,team1_other_ratio_var_50
699,0.047319781077344546,team2_defensive_raw_var_68
49,0.046691124460891804,player_other_raw_var_35
755,0.046562866343719866,team2_offensive_ratio_var_30
428,0.04648150373296652,player_offensive_derived_var_128
206,0.04606330564305044,player_physical_raw_var_192
154,0.04605598464350107,player_other_raw_var_140
120,0.04571577364053774,player_other_raw_var_106
368,0.04559696462216912,player_offensive_derived_var_68
298,0.045467302456131994,player_defensive_ratio_var_85
522,0.04514067965613076,team1_other_raw_var_59
332,0.04486925976794284,player_defensive_derived_var_32
397,0.04458771754441671,player_physical_derived_var_97
744,0.04445774547691998,team2_other_ratio_var_19
346,0.044145489046284875,player_offensive_derived_var_46
470,0.04388219661348437,team1_offensive_raw_var_7
606,0.04381436797335982,team1_other_ratio_var_49
716,0.04377528788292576,team2_other_raw_var_85
648,0.043426501434858655,team2_defensive_raw_var_17
294,0.043163238578823884,player_defensive_ratio_var_81
717,0.043129677671590434,team2_offensive_raw_var_86
215,0.04301010374679718,player_defensive_ratio_var_2
546,0.042356816497495085,team1_other_raw_var_83
656,0.041969089110968395,team2_other_raw_var_25
116,0.04130501552947234,player_offensive_raw_var_102
624,0.040826646928661496,team1_offensive_derived_var_14
121,0.04049409046205872,player_other_raw_var_107
48,0.040481003496779175,player_other_raw_var_34
270,0.03974395653062891,player_offensive_ratio_var_57
663,0.03941782226496446,team2_other_raw_var_32
203,0.039243381440753795,player_physical_raw_var_189
335,0.039132344608599226,player_physical_derived_var_35
148,0.03884734682933476,player_other_raw_var_134
394,0.0387332470477975,player_physical_derived_var_94
145,0.03844565967789625,player_offensive_raw_var_131
228,0.03816543588804007,player_other_ratio_var_15
493,0.03808590734156236,team1_other_raw_var_30
417,0.03798273085298683,player_positional_derived_var_117
711,0.03772327601462488,team2_other_raw_var_80
257,0.03761381791844454,player_other_ratio_var_44
722,0.037317985610232814,team2_offensive_raw_var_91
137,0.03706096033152202,player_other_raw_var_123
719,0.036970270059196536,team2_other_raw_var_88
380,0.036455750170814684,player_offensive_derived_var_80
55,0.03636256242274624,player_other_raw_var_41
675,0.03631930627974283,team2_other_raw_var_44
413,0.0360719747662916,player_defensive_derived_var_113
101,0.03581739385576911,player_offensive_raw_var_87
775,0.03500988882687979,team2_other_ratio_var_50
709,0.034697768818427344,team2_other_raw_var_78
214,0.03430487121258951,player_positional_ratio_var_1
235,0.03411565416298332,player_positional_ratio_var_22
231,0.033195774588066745,player_other_ratio_var_18
523,0.03268070770560379,team1_other_raw_var_60
538,0.0324471728778648,team1_other_raw_var_75
661,0.03214537024847996,team2_other_raw_var_30
433,0.03143192974568201,player_physical_derived_var_133
651,0.03122163357833538,team2_other_raw_var_20
636,0.03117488455671251,team2_other_raw_var_5
712,0.031080665386599395,team2_other_raw_var_81
288,0.031073157842214306,player_other_ratio_var_75
549,0.031015602835174617,team1_offensive_raw_var_86
793,0.030978837349628252,team2_defensive_derived_var_15
323,0.030847046279052506,player_physical_derived_var_23
665,0.030843452437411968,team2_other_raw_var_34
386,0.03070278871221698,player_offensive_derived_var_86
108,0.030684110831893766,player_defensive_raw_var_94
658,0.0294450070984527,team2_other_raw_var_27
65,0.028974747533152424,player_other_raw_var_51
141,0.02884251736580642,player_other_raw_var_127
649,0.027561076030356586,team2_offensive_raw_var_18
684,0.027332033651389177,team2_other_raw_var_53
306,0.02707203797072232,player_physical_derived_var_6
457,0.02702230657447116,player_other_derived_var_157
420,0.027006099131749887,player_offensive_derived_var_120
361,0.026980977885103005,player_other_derived_var_61
399,0.026793341406084522,player_offensive_derived_var_99
396,0.02649016193775287,player_other_derived_var_96
11,0.026414305512537855,player_general_var_3
637,0.025948508083131882,team2_defensive_raw_var_6
142,0.025732117750193923,player_other_raw_var_128
439,0.02564474276884312,player_other_derived_var_139
169,0.025635594754540598,player_offensive_raw_var_155
272,0.02554250916279469,player_offensive_ratio_var_59
424,0.02553396018474574,player_offensive_derived_var_124
421,0.025312980132486916,player_physical_derived_var_121
599,0.024878393897633938,team1_other_ratio_var_42
107,0.024661416587628875,player_defensive_raw_var_93
666,0.024483967683830668,team2_offensive_raw_var_35
406,0.023726899145022087,player_physical_derived_var_106
736,0.023641923601509244,team2_other_ratio_var_11
331,0.023388235951326136,player_defensive_derived_var_31
237,0.023348419030668963,player_other_ratio_var_24
471,0.023245053925714555,team1_other_raw_var_8
416,0.023212758511562608,player_positional_derived_var_116
531,0.023039501061961513,team1_defensive_raw_var_68
353,0.022701234098808722,player_positional_derived_var_53
547,0.022693668574559542,team1_other_raw_var_84
336,0.02237841243545187,player_physical_derived_var_36
182,0.022327657804892598,player_other_raw_var_168
229,0.022327040505175047,player_defensive_ratio_var_16
440,0.022278017940534384,player_other_derived_var_140
505,0.022258554463072133,team1_other_raw_var_42
442,0.021742680637593496,player_defensive_derived_var_142
705,0.021124698187559902,team2_other_raw_var_74
489,0.021071701932744547,team1_other_raw_var_26
458,0.021066449049773037,player_offensive_derived_var_158
171,0.02049357415493777,player_other_raw_var_157
387,0.01995764033749225,player_positional_derived_var_87
530,0.019633758755215225,team1_other_raw_var_67
585,0.019194725461890754,team1_other_ratio_var_28
434,0.0187951418889424,player_defensive_derived_var_134
166,0.018335481879472183,player_other_raw_var_152
315,0.01831856896205118,player_positional_derived_var_15
299,0.017937955553095065,player_other_ratio_var_86
345,0.017604647203581566,player_physical_derived_var_45
605,0.01755029933394102,team1_offensive_ratio_var_48
232,0.016993689039498206,player_offensive_ratio_var_19
632,0.016062070330785546,team2_offensive_raw_var_1
539,0.015514085017935633,team1_other_raw_var_76
568,0.01523725724751163,team1_other_ratio_var_11
278,0.015004356875224462,player_other_ratio_var_65
143,0.01481473531329966,player_offensive_raw_var_129
185,0.013679764085311321,player_other_raw_var_171
441,0.01361865370049887,player_other_derived_var_141
418,0.013072804759624135,player_physical_derived_var_118
127,0.012862643729147211,player_other_raw_var_113
544,0.012441386793810733,team1_other_raw_var_81
175,0.012186830806237468,player_defensive_raw_var_161
766,0.012173729630334126,team2_other_ratio_var_41
432,0.012010586275890524,player_defensive_derived_var_132
247,0.011909072570124192,player_other_ratio_var_34
693,0.0119040141242968,team2_other_raw_var_62
159,0.011878933296284061,player_offensive_raw_var_145
286,0.011235579375820032,player_other_ratio_var_73
343,0.011155211565976592,player_positional_derived_var_43
532,0.01085312324336432,team1_other_raw_var_69
449,0.01081426419806402,player_defensive_derived_var_149
382,0.010779264004655108,player_physical_derived_var_82
213,0.010010490779393545,player_positional_ratio_var_0
71,0.009675980074318377,player_other_raw_var_57
414,0.00964551597287187,player_defensive_derived_var_114
158,0.009641384849597446,player_other_raw_var_144
285,0.00900688954771573,player_offensive_ratio_var_72
174,0.008577491955258277,player_other_raw_var_160
252,0.008403417385250179,player_defensive_ratio_var_39
180,0.008287185984964142,player_defensive_raw_var_166
202,0.007968004318121131,player_other_raw_var_188
352,0.007897193564424016,player_offensive_derived_var_52
289,0.007838547380636643,player_defensive_ratio_var_76
146,0.007660453999240221,player_other_raw_var_132
460,0.007416482473602473,player_other_derived_var_160
378,0.007374292153227431,player_positional_derived_var_78
698,0.0073033651075507374,team2_other_raw_var_67
529,0.00713624216666036,team1_other_raw_var_66
109,0.0070209432963118735,player_defensive_raw_var_95
226,0.006880193450858937,player_offensive_ratio_var_13
344,0.006789849142231593,player_positional_derived_var_44
157,0.00671217779727872,player_general_raw_var_143
